,title,year,genre1,genre2,genre3,mpa_rating,director,stars1,star2,star3,description,crit_consensus,entity
25,Ghost Rider: Spirit of Vengeance,2011,Action,Fantasy,Thriller,PG-13,Mark Neveldine,Brian Taylor,Nicolas Cage,Ciar<e1>n Hinds,"Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","With a weak script, uneven CG work, and a Nic Cage performance so predictably loony it's no longer amusing, Ghost Rider: Spirit of Vengeance aims to be trashy fun but ends up as plain trash.",MARVEL
26,The Avengers,2012,Action,Adventure,Sci-Fi,PG-13,Joss Whedon,Joss Whedon,Robert Downey Jr.,Chris Evans,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",MARVEL
27,The Amazing Spider-Man,2012,Action,Adventure,Fantasy,PG-13,Marc Webb,Marc Webb,Andrew Garfield,Emma Stone,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","A well-chosen cast and sure-handed direction allow The Amazing Spider-Man to thrill, despite revisiting many of the same plot points from 2002's Spider-Man.",MARVEL
28,Iron Man Three,2013,Action,Adventure,Sci-Fi,PG-13,Shane Black,Shane Black,Robert Downey Jr.,Guy Pearce,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","With the help of its charismatic lead, some impressive action sequences, and even a few surprises, Iron Man 3 is a witty, entertaining adventure and a strong addition to the Marvel canon.",MARVEL
29,The Wolverine,2013,Action,Sci-Fi,,PG-13,James Mangold,James Mangold,Hugh Jackman,Will Yun Lee,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.","Although its final act succumbs to the usual cartoonish antics, The Wolverine is one superhero movie that manages to stay true to the comics while keeping casual viewers entertained.",MARVEL
30,Thor: The Dark World,2013,Action,Adventure,Fantasy,PG-13,Alan Taylor,Alan Taylor,Chris Hemsworth,Natalie Portman,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.","It may not be the finest film to come from the Marvel Universe, but Thor: The Dark World still offers plenty of the humor and high-stakes action that fans have come to expect.",MARVEL
31,Captain America: The Winter Soldier,2014,Action,Adventure,Sci-Fi,PG-13,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.",MARVEL
32,The Amazing Spider-Man 2,2014,Action,Adventure,Fantasy,PG-13,Marc Webb,Marc Webb,Andrew Garfield,Emma Stone,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","While the cast is outstanding and the special effects are top-notch, the latest installment of the Spidey saga suffers from an unfocused narrative and an overabundance of characters.",MARVEL
33,X-Men: Days of Future Past,2014,Action,Adventure,Sci-Fi,PG-13,Bryan Singer,Bryan Singer,Patrick Stewart,Ian McKellen,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,X-Men: Days of Future Past combines the best elements of the series to produce a satisfyingly fast-paced outing that ranks among the franchise's finest installments.,MARVEL
34,Guardians of the Galaxy,2014,Action,Adventure,Comedy,PG-13,James Gunn,James Gunn,Chris Pratt,Vin Diesel,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",MARVEL
35,Avengers: Age of Ultron,2015,Action,Adventure,Sci-Fi,PG-13,Joss Whedon,Joss Whedon,Robert Downey Jr.,Chris Evans,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.",MARVEL
36,Ant-Man,2015,Action,Adventure,Comedy,PG-13,Peyton Reed,Peyton Reed,Paul Rudd,Michael Douglas,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.","Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",MARVEL
37,Fantastic Four,2015,Action,Adventure,Sci-Fi,PG-13,Josh Trank,Josh Trank,Miles Teller,Kate Mara,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,"Dull and downbeat, this Fantastic Four proves a woefully misguided attempt to translate a classic comic series without the humor, joy, or colorful thrills that made it great.",MARVEL
38,Deadpool,2016,Action,Adventure,Comedy,R,Tim Miller,Tim Miller,Ryan Reynolds,Morena Baccarin,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Fast, funny, and gleefully profane, the fourth-wall-busting Deadpool subverts superhero film formula with wildly entertaining -- and decidedly non-family-friendly -- results.",MARVEL
39,Captain America: Civil War,2016,Action,Adventure,Sci-Fi,PG-13,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,MARVEL
40,X-Men: Apocalypse,2016,Action,Adventure,Sci-Fi,PG-13,Bryan Singer,Bryan Singer,James McAvoy,Michael Fassbender,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","Overloaded action and a cliched villain take the focus away from otherwise strong performers and resonant themes, making X-Men: Apocalypse a middling chapter of the venerable superhero franchise.",MARVEL
41,Doctor Strange,2016,Action,Adventure,Fantasy,PG-13,Scott Derrickson,Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","Doctor Strange artfully balances its outr<e9> source material against the blockbuster constraints of the MCU, delivering a thoroughly entertaining superhero origin story in the bargain.",MARVEL
42,Logan,2017,Action,Drama,Sci-Fi,R,James Mangold,James Mangold,Hugh Jackman,Patrick Stewart,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.",MARVEL
43,Guardians of the Galaxy Vol. 2,2017,Action,Adventure,Comedy,PG-13,James Gunn,James Gunn,Chris Pratt,Zoe Saldana,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","Guardians of the Galaxy Vol. 2's action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor.",MARVEL
44,Spider-Man: Homecoming,2017,Action,Adventure,Sci-Fi,PG-13,Jon Watts,Jon Watts,Tom Holland,Michael Keaton,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","Spider-Man: Homecoming does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building.",MARVEL
45,Thor: Ragnarok,2017,Action,Adventure,Comedy,PG-13,Taika Waititi,Taika Waititi,Chris Hemsworth,Tom Hiddleston,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnar<f6>k, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Exciting, funny, and above all fun, Thor: Ragnarok is a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the Marvel Cinematic Universe.",MARVEL
46,Black Panther,2018,Action,Adventure,Sci-Fi,PG-13,Ryan Coogler,Ryan Coogler,Chadwick Boseman,Michael B. Jordan,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,MARVEL
47,Avengers: Infinity War,2018,Action,Adventure,Sci-Fi,PG-13,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Avengers: Infinity War ably juggles a dizzying array of MCU heroes in the fight against their gravest threat yet, and the result is a thrilling, emotionally resonant blockbuster that (mostly) realizes its gargantuan ambitions.",MARVEL
48,Deadpool 2,2018,Action,Adventure,Comedy,R,David Leitch,David Leitch,Ryan Reynolds,Josh Brolin,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","Though it threatens to buckle under the weight of its meta gags, Deadpool 2 is a gory, gleeful lampoon of the superhero genre buoyed by Ryan Reynolds' undeniable charm.",MARVEL
49,Ant-Man and the Wasp,2018,Action,Adventure,Comedy,PG-13,Peyton Reed,Peyton Reed,Paul Rudd,Evangeline Lilly,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","A lighter, brighter superhero movie powered by the effortless charisma of Paul Rudd and Evangeline Lilly, Ant-Man and The Wasp offers a much-needed MCU palate cleanser.",MARVEL
50,Venom,2018,Action,Adventure,Sci-Fi,PG-13,Ruben Fleischer,Ruben Fleischer,Tom Hardy,Michelle Williams,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Venom's first standalone movie turns out to be like the comics character in all the wrong ways - chaotic, noisy, and in desperate need of a stronger attachment to Spider-Man.",MARVEL
51,Captain Marvel,2019,Action,Adventure,Sci-Fi,PG-13,Anna Boden,Anna Boden,Brie Larson,Samuel L. Jackson,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,"Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formula.",MARVEL
52,Avengers: Endgame,2019,Action,Adventure,Drama,PG-13,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",MARVEL
53,X-Men: Dark Phoenix,2019,Action,Adventure,Sci-Fi,PG-13,Simon Kinberg,Simon Kinberg,James McAvoy,Michael Fassbender,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",Dark Phoenix ends an era of the X-Men franchise by taking a second stab at adapting a classic comics arc -- with deeply disappointing results.,MARVEL
54,Spider-Man: Far from Home,2019,Action,Adventure,Sci-Fi,PG-13,Jon Watts,Jon Watts,Tom Holland,Samuel L. Jackson,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","A breezily unpredictable blend of teen romance and superhero action, Spider-Man: Far from Home stylishly sets the stage for the next era of the MCU.",MARVEL
55,The New Mutants,2020,Action,Horror,Mystery,PG-13,Josh Boone,Josh Boone,Maisie Williams,Anya Taylor-Joy,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","Rendering a list of potentially explosive ingredients mostly inert, The New Mutants is a franchise spinoff that's less than the sum of its super-powered parts.",MARVEL
